Drug	side_effect_name
Afatinib	Conjunctivitis
Afatinib	Connective tissue disorder
Afatinib	Constipation
Afatinib	Cough
Afatinib	Cystitis
Afatinib	Cystitis noninfective
Afatinib	Decreased appetite
Afatinib	Dehydration
Afatinib	Dermatitis
Afatinib	Dermatitis acneiform
Afatinib	Diarrhoea
Afatinib	Diastolic dysfunction
Afatinib	Disease progression
Afatinib	Dizziness
Afatinib	Dry eye
Afatinib	Dry skin
Afatinib	Dysgeusia
Afatinib	Dyspepsia
Afatinib	Dyspnoea
Afatinib	Epistaxis
Afatinib	Eye disorder
Afatinib	Fatigue
Afatinib	Gastrointestinal disorder
Afatinib	Headache
Afatinib	Hepatobiliary disease
Afatinib	Hypokalaemia
Afatinib	Infection
Afatinib	Infestation
Afatinib	Infestation NOS
Afatinib	Insomnia
Afatinib	Interstitial lung disease
Afatinib	Keratitis
Afatinib	Left ventricular dysfunction
Afatinib	Malnutrition
Afatinib	Mediastinal disorder
Afatinib	Mental disorder
Afatinib	Mouth ulceration
Afatinib	Mucosal erosion
Afatinib	Mucosal inflammation
Afatinib	Mucosal ulceration
Afatinib	Muscle spasms
Afatinib	Nail bed infection
Afatinib	Nail infection
Afatinib	Nasal inflammation
Afatinib	Nasopharyngitis
Afatinib	Nausea
Afatinib	Nervous system disorder
Afatinib	Oral mucosa erosion
Afatinib	Paronychia
Afatinib	Pneumonia
Afatinib	Pruritus
Afatinib	Pruritus generalised
Afatinib	Pulmonary toxicity
Afatinib	Rash
Afatinib	Renal failure
Afatinib	Renal impairment
Afatinib	Rhinorrhoea
Afatinib	Sepsis
Afatinib	Skin disorder
Afatinib	Skin fissures
Afatinib	Stomatitis
Afatinib	Unspecified disorder of skin and subcutaneous tissue
Afatinib	Upper respiratory tract infection
Afatinib	Urethral disorder
Afatinib	Urinary tract disorder
Afatinib	Urinary tract infection
Afatinib	Ventricular dysfunction
Afatinib	Vomiting
Afatinib	Weight decreased
Afatinib	Acne pustular
Afatinib	Alanine aminotransferase increased
Tretinoin	Rhabdomyolysis
Tretinoin	Affect lability
Tretinoin	Scab
Tretinoin	Aggression
Tretinoin	Acneiform eruption
Tretinoin	Phlebitis
Tretinoin	Photophobia
Tretinoin	Abnormalities of the hair
Tretinoin	Acne fulminans
Tretinoin	Ileitis
Tretinoin	Acne
Tretinoin	Rosacea
Tretinoin	Retinoic acid syndrome
Tretinoin	Acute febrile neutrophilic dermatosis
Tretinoin	Dermatitis exfoliative
Tretinoin	Cerebral haemorrhage
Tretinoin	Allergic contact dermatitis
Tretinoin	Retinal haemorrhage
Tretinoin	IIIrd nerve paralysis
Tretinoin	Agranulocytosis
Tretinoin	Hypoxia
Tretinoin	Dermatitis contact
Tretinoin	Phosphatase alkaline increased
Tretinoin	Paronychia
Tretinoin	Scotoma
Tretinoin	Agnosia
Tretinoin	Respiratory tract infection
Tretinoin	Abnormal behaviour
Tretinoin	Agitation
Tretinoin	Papilloedema
Tretinoin	Myocardial infarction
Tretinoin	Musculoskeletal stiffness
Tretinoin	Myalgia
Tretinoin	Dermatitis perioral
Tretinoin	Acquired immunodeficiency syndrome
Tretinoin	Nasopharyngitis
Tretinoin	Acute coronary syndrome
Tretinoin	Chapped lips
Tretinoin	Seborrhoeic dermatitis
Tretinoin	Sensory loss
Tretinoin	Dermatitis atopic
Tretinoin	Dermatitis bullous
Tretinoin	Sepsis
Tretinoin	Musculoskeletal pain
Tretinoin	Dizziness
Tretinoin	Septicemia
Tretinoin	Ileitis regional
Tretinoin	Diabetes mellitus
Tretinoin	Impaired healing
Tretinoin	Inflammation
Tretinoin	Xeroderma
Tretinoin	Diarrhoea
Tretinoin	Acidosis
Tretinoin	Dermatitis acneiform
Tretinoin	Hypoxemia
Tretinoin	Panic attack
Tretinoin	Distress
Tretinoin	Renal failure
Tretinoin	Decreased night vision
Tretinoin	Asterixis
Tretinoin	Pharyngitis
Tretinoin	Myositis
Tretinoin	Cerebellar syndrome
Tretinoin	Nail dystrophy
Tretinoin	Infection
Tretinoin	Sensitisation
Tretinoin	Sensory disturbance
Tretinoin	Hypothermia
Tretinoin	Photosensitivity
Tretinoin	Multi-organ failure
Tretinoin	Cardiac murmur
Tretinoin	Cardiomegaly
Tretinoin	Papule
Tretinoin	Ill-defined disorder
Tretinoin	Pruritus
Tretinoin	Nail disorder
Tretinoin	Pulmonary hypertension
Tretinoin	Pulmonary oedema
Tretinoin	Scrotal ulcer
Tretinoin	Abdominal pain
Tretinoin	Secondary infection
Tretinoin	Dermatitis
Tretinoin	Keratitis
Tretinoin	Lacrimation increased
Tretinoin	Disseminated intravascular coagulation
Tretinoin	Laryngeal oedema
Tretinoin	Myocarditis
Tretinoin	Cataract
Tretinoin	Partial hearing loss
Tretinoin	Pericardial effusion
Tretinoin	Pericarditis
Tretinoin	Xerophthalmia
Tretinoin	Disorder sight
Tretinoin	Respiratory insufficiency
Tretinoin	Discomfort
Tretinoin	Rash maculo-papular
Tretinoin	Redness
Tretinoin	Decreased appetite
Tretinoin	Deafness
Tretinoin	Paraesthesia
Tretinoin	Allergic cutaneous angiitis
Tretinoin	Alopecia
Tretinoin	Psychotic disorder
Tretinoin	Corneal opacity
Tretinoin	Nasal dryness
Tretinoin	Cerebrovascular accident
Tretinoin	Cheilitis
Tretinoin	Rash
Tretinoin	Hypotension
Tretinoin	Pancreatitis acute
Tretinoin	Arrhythmia
Tretinoin	Arthralgia
Tretinoin	Arthritis
Tretinoin	Ascites
Tretinoin	Suicidal ideation
Tretinoin	Asthenia
Tretinoin	Asthenopia
Tretinoin	Cough
Tretinoin	Infestation
Tretinoin	Inflammatory bowel disease
Tretinoin	Abdominal distension
Tretinoin	Haemoglobin
Tretinoin	Injection site reaction
Tretinoin	Lacrimation decreased
Tretinoin	Irritability
Tretinoin	Post-traumatic pain
Tretinoin	Lethargy
Tretinoin	Serum creatinine increased
Tretinoin	Drowsiness
Tretinoin	Convulsion
Tretinoin	Asthma
Tretinoin	Xanthoma
Tretinoin	Weight increased
Tretinoin	Haematuria
Tretinoin	Crohn's disease
Tretinoin	Cushingoid
Tretinoin	Rash pustular
Tretinoin	Red blood cell sedimentation rate increased
Tretinoin	Cystitis noninfective
Tretinoin	Hypersensitivity
Tretinoin	Hypertension
Tretinoin	Decreased tolerance
Tretinoin	Renal failure acute
Tretinoin	Shock
Tretinoin	Alopecia reversible
Tretinoin	Pyogenic granuloma
Tretinoin	Rales
Tretinoin	Respiratory failure
Tretinoin	Musculoskeletal discomfort
Tretinoin	Application site stinging
Tretinoin	Pancreatitis
Tretinoin	Violent behavior
Tretinoin	Vision blurred
Tretinoin	Cardiomyopathy
Tretinoin	Cardiomyopathy secondary NOS
Tretinoin	Cardiovascular disorder
Tretinoin	Cellulitis
Tretinoin	Central nervous system disorder
Tretinoin	Auditory disorder NOS
Tretinoin	Abdominal discomfort
Tretinoin	Autoimmune disorder
Tretinoin	Infestation NOS
Tretinoin	Neck pain
Tretinoin	Chest discomfort
Tretinoin	Photosensitivity reaction
Tretinoin	Lactic dehydrogenase activity increased
Tretinoin	Pollakiuria
Tretinoin	Pregnancy
Tretinoin	Protein urine present
Tretinoin	Shivering
Tretinoin	Contusion
Tretinoin	Contact lens intolerance
Tretinoin	Nasal congestion
Tretinoin	Creatine phosphokinase serum increased
Tretinoin	Hepatocellular injury
Tretinoin	Hepatosplenomegaly
Tretinoin	Cutaneous hypersensitivity
Tretinoin	Rectal haemorrhage
Tretinoin	Cystitis
Tretinoin	Hyperostosis
Tretinoin	Hypercalcaemia
Tretinoin	Hyperaesthesia
Tretinoin	Hypertriglyceridaemia
Tretinoin	Renal impairment
Tretinoin	Renal infarct
Tretinoin	Creatine phosphokinase increased
Tretinoin	Respiratory distress
Tretinoin	Depression aggravated
Tretinoin	Application site reaction
Tretinoin	Mouth ulceration
Tretinoin	Mucosal dryness
Tretinoin	Mucosal inflammation
Tretinoin	Stevens-Johnson syndrome
Tretinoin	Stinging
Tretinoin	Stomatitis
Tretinoin	Ear disorder
Tretinoin	Suicide
Tretinoin	Suicide attempt
Tretinoin	Cerebellar oedema
Tretinoin	Weight fluctuation
Tretinoin	Groin pain
Tretinoin	Nausea
Tretinoin	Back pain
Tretinoin	Insomnia
Tretinoin	Intracranial pressure increased
Tretinoin	Chest pain
Tretinoin	Ischaemia
Tretinoin	Pneumonia
Tretinoin	Leukocytoclastic vasculitis
Tretinoin	Leukocytosis
Tretinoin	Drug interaction
Tretinoin	Drug tolerance decreased
Tretinoin	Constipation
Tretinoin	Hepatitis
Tretinoin	Anaphylactic shock
Tretinoin	Anger
Tretinoin	Hepatotoxicity
Tretinoin	Cyanosis
Tretinoin	Hirsutism
Tretinoin	Hyperlipidaemia
Tretinoin	Hypercholesterolaemia
Tretinoin	Hyperhidrosis
Tretinoin	Skin fragility
Tretinoin	Dehydration
Tretinoin	Dementia
Tretinoin	Renal tubular necrosis
Tretinoin	Depression
Tretinoin	Hyporeflexia
Tretinoin	Palpitations
Tretinoin	Pallor
Tretinoin	Cardiac arrest
Tretinoin	Cardiac failure congestive
Tretinoin	Vasculitis
Tretinoin	Vesiculobullous rash
Tretinoin	Visual acuity reduced
Tretinoin	Visual disturbance
Tretinoin	Visual impairment
Tretinoin	Wheezing
Tretinoin	Sunburn
Tretinoin	Sweating
Tretinoin	Sweating increased
Tretinoin	Gingivitis
Tretinoin	Genital ulceration
Tretinoin	Bacterial infection
Tretinoin	Basophilia
Tretinoin	Neoplasm malignant
Tretinoin	Pleural effusion
Tretinoin	Nervous system disorder
Tretinoin	Hair disorder
Tretinoin	Coma
Tretinoin	Proteinuria
Tretinoin	Completed suicide
Tretinoin	Dry eye
Tretinoin	Anaemia
Tretinoin	Sinusitis
Tretinoin	Skin atrophy
Tretinoin	Skin burning sensation
Tretinoin	Herpes simplex
Tretinoin	Anorexia
Tretinoin	Hoarseness
Tretinoin	Hordeolum
Tretinoin	Skin exfoliation
Tretinoin	Ophthalmoplegia
Tretinoin	Skin hyperpigmentation
Tretinoin	Hyperuricaemia
Tretinoin	Depressed level of consciousness
Tretinoin	Hypoaesthesia
Tretinoin	Application site rash
Tretinoin	Mood swings
Tretinoin	Skin ulcer
Tretinoin	Slow speech
Tretinoin	Somnolence
Tretinoin	Spinal cord disorder
Tretinoin	Gastrointestinal disorder
Tretinoin	Gastrointestinal haemorrhage
Tretinoin	Ear buzzing
Tretinoin	Gastrointestinal pain
Tretinoin	Ear pain
Tretinoin	Wheezing expiratory
Tretinoin	White blood cell count decreased
Tretinoin	Granulomatosis with polyangiitis
Tretinoin	Emotional distress
Tretinoin	Generalized aching
Tretinoin	Encephalopathy
Tretinoin	Swelling
Tretinoin	Syncope
Tretinoin	Behavior disorder
Tretinoin	Tachycardia
Tretinoin	Chills
Tretinoin	Prostatomegaly
Tretinoin	Clotting
Tretinoin	Leukoderma
Tretinoin	Confusional state
Tretinoin	Conjunctivitis
Tretinoin	Hemiplegia
Tretinoin	Dry eye syndrome
Tretinoin	Dry mouth
Tretinoin	Angiopathy
Tretinoin	Skin discolouration
Tretinoin	Skin disorder
Tretinoin	Anxiety
Tretinoin	Oesophagitis
Tretinoin	Dry skin
Tretinoin	Dry throat
Tretinoin	Aphasia
Tretinoin	Hypervitaminosis A
Tretinoin	Pain
Tretinoin	Buccal mucosa ulceration
Tretinoin	Application site pruritus
Tretinoin	Pain of skin
Tretinoin	Candida infection
Tretinoin	Urticaria
Tretinoin	Cardiac failure
Tretinoin	Dysuria
Tretinoin	Gastritis
Tretinoin	Violent
Tretinoin	Haemorrhage
Tretinoin	Gastrointestinal symptom NOS
Tretinoin	Eczema
Tretinoin	Edema of lower extremities
Tretinoin	Embolism
Tretinoin	Glomerulonephritis
Tretinoin	Night blindness
Tretinoin	Numbness
Tretinoin	Dry scalp
Tretinoin	Endophthalmitis
Tretinoin	Epiphyses premature fusion
Tretinoin	Localized exfoliation
Tretinoin	Nervousness
Tretinoin	Blood uric acid increased
Tretinoin	Neurologic reaction
Tretinoin	Coagulopathy
Tretinoin	Lightheadedness
Tretinoin	Lip dry
Tretinoin	Hearing impaired
Tretinoin	Pain in extremity
Tretinoin	Skin tenderness
Tretinoin	Miliaria
Tretinoin	Lividity
Tretinoin	Local reaction
Tretinoin	VIIth nerve paralysis
Tretinoin	Oesophageal ulcer
Tretinoin	Tachypnoea
Tretinoin	Body temperature decreased
Tretinoin	Duodenal ulcer
Tretinoin	Dysarthria
Tretinoin	Application site erythema
Tretinoin	Application site oedema
Tretinoin	Gout
Tretinoin	Blister
Tretinoin	Blood alkaline phosphatase increased
Tretinoin	Mental disorder
Tretinoin	Dyspnoea
Tretinoin	Oedema
Tretinoin	Oedema peripheral
Tretinoin	Blood glucose increased
Tretinoin	Telangiectasia
Tretinoin	Erythema
Tretinoin	Vomiting
Tretinoin	Wegener's granulomatosis
Tretinoin	Weight decreased
Tretinoin	Neutropenia
Tretinoin	Urethral disorder
Tretinoin	Urinary tract disorder
Tretinoin	Liver disorder
Tretinoin	Ocular hyperaemia
Tretinoin	Gait disturbance
Tretinoin	Forgetfulness
Tretinoin	Ochronosis
Tretinoin	Blood lactate dehydrogenase increased
Tretinoin	Blood triglycerides increased
Tretinoin	Hallucination
Tretinoin	Headache occurring
Tretinoin	Colitis
Tretinoin	Ototoxicity
Tretinoin	Blindness
Tretinoin	Tenderness
Tretinoin	CNS depression NOS
Tretinoin	Urinary tract infection
Tretinoin	Blood cholesterol increased
Tretinoin	Blood creatine phosphokinase increased
Tretinoin	Thrombosis
Tretinoin	Epistaxis
Tretinoin	Eruptive xanthoma
Tretinoin	Optic neuritis
Tretinoin	Osteitis
Tretinoin	Osteoarthritis
Tretinoin	Headache
Tretinoin	Skin infection
Tretinoin	Skin irritation
Tretinoin	Bladder pain
Tretinoin	Blood bilirubin increased
Tretinoin	Menstrual disorder
Tretinoin	Dysphonia
Tretinoin	Frank hematuria
Tretinoin	Blood creatinine increased
Tretinoin	Toxic epidermal necrolysis
Tretinoin	Tremor
Tretinoin	Neurological symptom
Tretinoin	Hallucination, auditory
Tretinoin	Lung disorder
Tretinoin	Neuropathy peripheral
Tretinoin	Erythema nodosum
Tretinoin	Application site pain
Tretinoin	Memory impairment
Tretinoin	Blepharitis
Tretinoin	Thrombocytosis
Tretinoin	Teratogenicity
Tretinoin	Tingling sensation
Tretinoin	Eye disorder
Tretinoin	Tinnitus
Tretinoin	Unspecified visual loss
Tretinoin	Loss of consciousness
Tretinoin	Benign intracranial hypertension
Tretinoin	Body temperature increased
Tretinoin	Bone pain
Tretinoin	Bronchospasm
Tretinoin	Eschar
Tretinoin	Upset stomach
Tretinoin	Folliculitis
Tretinoin	Malnutrition
Tretinoin	Thrombocytopenia
Tretinoin	Exostosis
Tretinoin	Excoriation
Tretinoin	Face oedema
Tretinoin	Erythema facial
Tretinoin	Upper respiratory tract infection
Tretinoin	Unspecified disorder of skin and subcutaneous tissue
Tretinoin	Erythema multiforme
Tretinoin	Feeling abnormal
Tretinoin	Brain oedema
Tretinoin	Dyspepsia
Tretinoin	Tendonitis
Tretinoin	Flushing
Tretinoin	Dysphagia
Tretinoin	Excessive granulation tissue
Tretinoin	Tension
Tretinoin	Febrile neutropenia
Tretinoin	Ulcer
Tretinoin	Facial paralysis
Tretinoin	Flank pain
Tretinoin	Skin striae
Tretinoin	Fatigue
Tretinoin	Lung infiltration
Tretinoin	Fluid overload
Tretinoin	Fluid imbalance
Tretinoin	Fasciitis
Tretinoin	Euphoric mood
Tretinoin	Foetor hepaticus
Tretinoin	Malaise
Tretinoin	Flatulence
Tretinoin	Eye irritation
Tretinoin	Lymphadenopathy
Aminophylline	Alopecia
Aminophylline	Dyspepsia
Aminophylline	Albuminuria
Aminophylline	Diuresis
Aminophylline	Shock
Aminophylline	Polyuria
Aminophylline	Disorientation
Aminophylline	Rhabdomyolysis
Aminophylline	Tachycardia
Aminophylline	Abdominal pain upper
Aminophylline	Acute overdose
Aminophylline	Diarrhoea
Aminophylline	Abdominal cramps
Aminophylline	Abdominal pain
Aminophylline	Poisoning
Aminophylline	Agitation
Aminophylline	Sinus tachycardia
Aminophylline	Skin necrosis
Aminophylline	Extrasystoles
Aminophylline	Extravasation
Aminophylline	Anaphylactic shock
Aminophylline	Gastrooesophageal reflux disease
Aminophylline	Pruritus
Aminophylline	Supraventricular tachycardia
Aminophylline	Respiratory depression
Aminophylline	Rash
Aminophylline	Respiratory arrest
Aminophylline	Atrial tachycardia
Aminophylline	Blood uric acid increased
Aminophylline	Fluid overload
Aminophylline	Flushing
Aminophylline	Status epilepticus
Aminophylline	Phlebitis
Aminophylline	Persistent vomiting
Aminophylline	Cardio-respiratory arrest
Aminophylline	Haematemesis
Aminophylline	Epigastric discomfort
Aminophylline	Pulmonary function test decreased
Aminophylline	Tachypnoea
Aminophylline	Tension
Aminophylline	Excitement
Aminophylline	Hypersensitivity
Aminophylline	Epigastric pain
Aminophylline	Body temperature increased
Aminophylline	Skin exfoliation
Aminophylline	Gastrointestinal pain
Aminophylline	Cardiac flutter
Aminophylline	Peptic ulcer
Aminophylline	Ventricular extrasystoles
Aminophylline	Anaphylactoid reaction
Aminophylline	Dizziness
Aminophylline	Irritability
Aminophylline	Lightheadedness
Aminophylline	Atrial fibrillation
Aminophylline	Multifocal atrial tachycardia
Aminophylline	Hyperuricaemia
Aminophylline	Nervous system disorder
Aminophylline	Nervousness
Aminophylline	Gastric irritation
Aminophylline	Palpitations
Aminophylline	Ventricular arrhythmia
Aminophylline	Dermatitis exfoliative
Aminophylline	Vomiting
Aminophylline	Anorexia
Aminophylline	Haemodynamic instability
Aminophylline	Anxiety
Aminophylline	Chronic obstructive pulmonary disease
Aminophylline	Hyperglycaemia
Aminophylline	Nausea
Aminophylline	Tremor muscle
Aminophylline	Hypokalaemia
Aminophylline	Overdose
Aminophylline	Bronchial hyperreactivity
Aminophylline	Dermatitis contact
Aminophylline	Urticaria
Aminophylline	Hypotension
Aminophylline	Intoxication
Aminophylline	Insomnia
Aminophylline	Infection
Aminophylline	Hypercalcaemia
Aminophylline	Heartburn
Aminophylline	Tremor
Aminophylline	Convulsion
Aminophylline	Convulsions generalised
Aminophylline	Brain injury
Aminophylline	Dermatitis
Aminophylline	Urinary retention
Aminophylline	Arrhythmia
Aminophylline	Headache
Aminophylline	Haematuria
Aminophylline	Inappropriate antidiuretic hormone secretion
Aminophylline	Venous thrombosis
Aminophylline	Decreased appetite
Aminophylline	Coma
Aminophylline	Hypoxic-ischaemic encephalopathy
Anastrozole	Blister
Anastrozole	Cardiovascular disorder
Anastrozole	Retinal vein thrombosis
Anastrozole	Aspartate aminotransferase increased
Anastrozole	Breast tenderness
Anastrozole	Carpal tunnel syndrome
Anastrozole	Arthropathy
Anastrozole	Blood alkaline phosphatase increased
Anastrozole	Asthenia
Anastrozole	Back pain
Anastrozole	Dysphagia
Anastrozole	Erythema multiforme
Anastrozole	Breast pain
Anastrozole	Anxiety
Anastrozole	Erythema
Anastrozole	Sweating increased
Anastrozole	Tension
Anastrozole	Thromboembolic event
Anastrozole	Bronchitis
Anastrozole	Dyspepsia
Anastrozole	Influenza
Anastrozole	Rhinitis
Anastrozole	Thromboembolism
Anastrozole	Stiffness
Anastrozole	Sweating
Anastrozole	Endometrial cancer
Anastrozole	Insomnia
Anastrozole	Jaundice
Anastrozole	Confusional state
Anastrozole	Constipation
Anastrozole	Coronary artery disease
Anastrozole	Acute coronary syndrome
Anastrozole	Alanine aminotransferase increased
Anastrozole	Alopecia
Anastrozole	Anaemia
Anastrozole	Breast neoplasm
Anastrozole	Bone pain
Anastrozole	Emotional distress
Anastrozole	Angina pectoris
Anastrozole	Angioedema
Anastrozole	Anorexia
Anastrozole	Arthralgia
Anastrozole	Arthritis
Anastrozole	Pulmonary embolism
Anastrozole	Raised liver function tests
Anastrozole	Rash
Anastrozole	Dry mouth
Anastrozole	Inflammation
Anastrozole	Blood cholesterol increased
Anastrozole	Anaphylactic shock
Anastrozole	Anaphylactoid reaction
Anastrozole	Stevens-Johnson syndrome
Anastrozole	Injury
Anastrozole	Henoch-Schonlein purpura
Anastrozole	Hepatic pain
Anastrozole	Joint stiffness
Anastrozole	Swelling
Anastrozole	Fatigue
Anastrozole	Feeling abnormal
Anastrozole	Thrombophlebitis
Anastrozole	Cataract
Anastrozole	Influenza like illness
Anastrozole	Sinusitis
Anastrozole	Body temperature increased
Anastrozole	Cerebral ischaemia
Anastrozole	Headache
Anastrozole	Dermatitis bullous
Anastrozole	Diarrhoea
Anastrozole	Hepatitis
Anastrozole	Hepatitis acute
Anastrozole	Hepatitis toxic
Anastrozole	Hepatobiliary disease
Anastrozole	Ageusia
Anastrozole	Neuropathy
Anastrozole	Neuropathy peripheral
Anastrozole	Oedema
Anastrozole	Decreased appetite
Anastrozole	Depression
Anastrozole	Dermatitis
Anastrozole	Mood alteration NOS
Anastrozole	Mood swings
Anastrozole	Pelvic pain
Anastrozole	Pharyngitis
Anastrozole	Phosphatase alkaline increased
Anastrozole	Pruritus
Anastrozole	Dysgeusia
Anastrozole	Infection
Anastrozole	Fracture
Anastrozole	Thrombosis
Anastrozole	Dyspnoea
Anastrozole	Somnolence
Anastrozole	Embolism venous
Anastrozole	Oedema peripheral
Anastrozole	Oestrogenic effect
Anastrozole	Multiple fractures
Anastrozole	Musculoskeletal stiffness
Anastrozole	Lethargy
Anastrozole	Leukopenia
Anastrozole	Leukorrhea
Anastrozole	Lipid metabolism disorder
Anastrozole	Nervousness
Anastrozole	Neoplasm
Anastrozole	Cataract specified
Anastrozole	Cerebral infarction
Anastrozole	Haemorrhage
Anastrozole	Influenza-like symptoms
Anastrozole	Trigger finger
Anastrozole	Osteoarthritis
Anastrozole	Osteoporosis
Anastrozole	Myalgia
Anastrozole	Abdominal pain
Anastrozole	Accidental injury
Anastrozole	Neoplasm malignant
Anastrozole	Vaginal haemorrhage
Anastrozole	Liver function test abnormal
Anastrozole	Cutaneous vasculitis
Anastrozole	Cyst
Anastrozole	Vomiting
Anastrozole	Menopause
Anastrozole	Vulvovaginal dryness
Anastrozole	Tumour flare
Anastrozole	Cerebrovascular accident
Anastrozole	Osteoporotic fracture
Anastrozole	Pain
Anastrozole	Paraesthesia
Anastrozole	Increased appetite
Anastrozole	Myocardial infarction
Anastrozole	Cough
Anastrozole	Gamma-glutamyltransferase increased
Anastrozole	Gastrointestinal disorder
Anastrozole	Embolism
Anastrozole	Hot flush
Anastrozole	Gastrointestinal pain
Anastrozole	Vulvovaginitis
Anastrozole	Weight decreased
Anastrozole	Chest pain
Anastrozole	Cholesterol serum elevated
Anastrozole	Vaginal discharge
Anastrozole	Vaginal dryness
Anastrozole	Ill-defined disorder
Anastrozole	Myocardial ischaemia
Anastrozole	Cough increased
Anastrozole	High density lipoprotein decreased
Anastrozole	Menopausal symptoms
Anastrozole	Malaise
Anastrozole	Vasodilation procedure
Anastrozole	Haemoglobin
Anastrozole	Hypercholesterolaemia
Anastrozole	Weight increased
Anastrozole	Digestion impaired
Anastrozole	Discomfort
Anastrozole	Dizziness
Anastrozole	Urticaria
Anastrozole	Vasodilation
Anastrozole	Hepatotoxicity
Anastrozole	Low density lipoprotein increased
Anastrozole	Hip fracture
Anastrozole	Hyperhidrosis
Anastrozole	Ulcer
Anastrozole	Hypercalcaemia
Anastrozole	Musculoskeletal disorder
Anastrozole	Lymphoedema
Anastrozole	Vaginal infection
Anastrozole	Musculoskeletal discomfort
Anastrozole	High cholesterol
Anastrozole	Hypertonia
Anastrozole	Vaginal inflammation
Anastrozole	Hypersensitivity
Anastrozole	Hypertension
Anastrozole	Nausea
Anastrozole	Urinary tract infection
Anastrozole	Neck pain
Azacitidine	Mouth haemorrhage
Azacitidine	Pharyngitis streptococcal
Azacitidine	Myalgia
Azacitidine	Procedural pain
Azacitidine	Chills
Azacitidine	Nasal congestion
Azacitidine	Chest wall pain
Azacitidine	Chest pain
Azacitidine	Muscle spasms
Azacitidine	Musculoskeletal discomfort
Azacitidine	Postnasal drip
Azacitidine	Muscular weakness
Azacitidine	Myelodysplastic syndrome transformation
Azacitidine	Haemoptysis
Azacitidine	Haemorrhage
Azacitidine	Musculoskeletal pain
Azacitidine	Pharyngitis
Azacitidine	Anxiety
Azacitidine	Metastatic disease
Azacitidine	Metastatic neoplasm
Azacitidine	Haemoglobin
Azacitidine	Neutropenic sepsis
Azacitidine	Oral mucosal petechiae
Azacitidine	Nasopharyngitis
Azacitidine	Nausea
Azacitidine	Productive cough
Azacitidine	Cerebral haemorrhage
Azacitidine	Cardio-respiratory arrest
Azacitidine	Gastrointestinal pain
Azacitidine	Petechiae
Azacitidine	Oedema peripheral
Azacitidine	Cholecystitis
Azacitidine	Arthralgia
Azacitidine	Anaphylactic shock
Azacitidine	Atelectasis
Azacitidine	Melaena
Azacitidine	Mental disorder
Azacitidine	Asthenia
Azacitidine	Neutropenia
Azacitidine	Haematoma
Azacitidine	Cyst
Azacitidine	Post procedural pain
Azacitidine	Gingival bleeding
Azacitidine	Pleural effusion
Azacitidine	Pneumonia
Azacitidine	Angiopathy
Azacitidine	Anorexia
Azacitidine	Pneumothorax
Azacitidine	Blastomycosis
Azacitidine	Body temperature increased
Azacitidine	Bone marrow depression
Azacitidine	Cough
