A,B,ATCsim,STsim,SEsim,integrated_score,integrated_score2,TAG
Gemcitabine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Decitabine,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Docetaxel,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Vincristine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Idarubicin,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Blebbistatin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Diphenhydramine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Lintuzumab,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Capecitabine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
LG100268,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Decitabine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Chenodeoxycholic acid,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Camptothecin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Vincristine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Monastrol,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Bortezomib,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cabazitaxel,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Lomustine,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Monastrol,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Fludarabine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Axitinib,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Ixabepilone,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Trifluridine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Taxane,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Prednisone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Docetaxel,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Exemestane,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Fludarabine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Simvastatin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Cisplatin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Bortezomib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Aclacinomycin A,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Mitomycin,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Genistein,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Emodin,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Idarubicin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Blebbistatin,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cyclophosphamide,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Camptothecin,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Decitabine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Obatoclax,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Abiraterone,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Thalidomide,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Topotecan,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Fotemustine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Dasatinib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
ABT-751,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cediranib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Ixabepilone,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Afatinib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
2-Deoxyinosine,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Camptothecin,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Oxycodone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Afatinib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Fludarabine,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Gemcitabine,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Imatinib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
H-7,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Olaparib,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Valproic Acid,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Enzastaurin,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Erlotinib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
LG100268,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Midazolam,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Chenodeoxycholic acid,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cabazitaxel,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Topotecan,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Phenoxodiol,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Vinorelbine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Ixabepilone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Aclacinomycin A,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Vincristine,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Blebbistatin,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lapatinib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Linifanib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Zibotentan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Melphalan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Tipifarnib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Romidepsin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Lomustine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Zoledronic acid,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Irinotecan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Etodolac,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Paclitaxel,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Rosiglitazone,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Discodermolide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Toremifene,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Bexarotene,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Enalapril,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Oxaliplatin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
NU6140,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,AEE788,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Octreotide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Vandetanib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,NU6140,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Ketoconazole,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,O6-benzylguanine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Vinorelbine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Procainamide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Sabarubicin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Olaparib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,SC144,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Lenalidomide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Pemetrexed,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Rosiglitazone,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Tamoxifen,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Trimidox,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Everolimus,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Lintuzumab,Midazolam,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Temozolomide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Leucovorin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Mitoxantrone,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Topotecan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Mitomycin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Peloruside A,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Aminophylline,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,CI-1040,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Celecoxib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Trichostatin A,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Canfosfamide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Oxycodone,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Lansoprazole,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Arzoxifene,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Valproic Acid,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Epirubicin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Chlorambucil,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Sirolimus,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,2-Methoxyestradiol,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Theophylline,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Dexamethasone,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Phenoxodiol,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,ABT-737,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Propranolol,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Bosutinib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Pregabalin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Sunitinib,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Lintuzumab,Temsirolimus,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Azacitidine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Fenretinide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Rifampin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Daunorubicin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,17-DMAG,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Vitamin D2,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Plitidepsin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Carvedilol,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Metformin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,17-DMAG,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Obatoclax,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Doxorubicin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Fluorouracil,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Trabectedin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Sorafenib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,ABT-737,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Enzastaurin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Rifampin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Lomeguatrib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Gefitinib,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Lintuzumab,Lonafarnib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Methoxsalen,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Naloxone,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Clofarabine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Etoposide,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Cetuximab,Pazopanib,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,Cytarabine,0.082084999,1.00E-50,1.00E-50,0.082084999,0.082084999,N
Cetuximab,Plitidepsin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Anastrozole,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Lonafarnib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Sodium butyrate,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Vinorelbine,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,Daunorubicin,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Lintuzumab,Trifluridine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Sorafenib,0.60653066,1.00E-50,0,0.60653066,0.60653066,N
Cetuximab,Thalidomide,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,SCH 900776,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Octreotide,0.367879441,1.00E-50,0,0.367879441,0.367879441,N
Lintuzumab,Gefitinib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Prednisone,0.135335283,1.00E-50,0,0.135335283,0.135335283,N
Cetuximab,Imatinib,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Lintuzumab,Tretinoin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Genistein,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Taxane,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,LG100268,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Obatoclax,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Midazolam,0.367879441,1.00E-50,0,0.367879441,0.367879441,N
Lintuzumab,Pazopanib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Fenretinide,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Tipifarnib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Trabectedin,0.60653066,1.00E-50,1.00E-50,0.60653066,0.60653066,N
Lintuzumab,Simvastatin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Linifanib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Carboplatin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Fulvestrant,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,CI-1040,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Sunitinib,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Temsirolimus,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Cetuximab,Bosutinib,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,Naloxone,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,Trifluridine,0.367879441,1.00E-50,0,0.367879441,0.367879441,N
Cetuximab,Fulvestrant,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Lintuzumab,Perifosine,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Ketoconazole,0.367879441,1.00E-50,0,0.367879441,0.367879441,N
Cetuximab,Cabazitaxel,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Cetuximab,Oxycodone,0.135335283,1.00E-50,0,0.135335283,0.135335283,N
Cetuximab,Simvastatin,0.60653066,1.00E-50,0,0.60653066,0.60653066,N
Cetuximab,Cyclophosphamide,0.367879441,1.00E-50,1.00E-50,0.367879441,0.367879441,N
Cetuximab,Sabarubicin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Arzoxifene,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lintuzumab,Tubacin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Trichostatin A,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Vandetanib,0.22313016,1.00E-50,0,0.22313016,0.22313016,N
Cetuximab,Tubacin,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Canfosfamide,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Cetuximab,Capecitabine,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Cetuximab,Leucovorin,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Cetuximab,Melphalan,0.22313016,1.00E-50,1.00E-50,0.22313016,0.22313016,N
Cetuximab,Celecoxib,0.367879441,1.00E-50,0,0.367879441,0.367879441,N
Cetuximab,Peloruside A,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Cetuximab,Azacitidine,0.082084999,1.00E-50,0,0.082084999,0.082084999,N
Exemestane,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Erlotinib,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Abiraterone,Ibritumomab tiuxetan,1.00E-50,1.00E-50,0,1.00E-50,1.00E-50,N
Sirolimus,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Docetaxel,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Trichostatin A,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Emodin,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Lomustine,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Exemestane,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Imatinib,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Procainamide,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Procainamide,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Enzastaurin,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
NU6140,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
Peloruside A,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
H-7,Lintuzumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
SC144,Ibritumomab tiuxetan,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
ABT-751,Teprotumumab,1.00E-50,1.00E-50,1.00E-50,1.00E-50,1.00E-50,N
