pathway_name,drug,logFC,kegg_pathway_ID
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,everolimus,0.315151082,hsa04612
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Fludarabine,0.336265606,hsa04612
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Geldanamycin,0.180989451,hsa04612
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Everolimus,0.315151082,hsa04612
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,Simvastatin,0.147292212,hsa04612
KEGG_APOPTOSIS,ruxolitinib,0.136066552,hsa04210
KEGG_APOPTOSIS,Vorinostat,-0.043124083,hsa04210
KEGG_APOPTOSIS,Vinblastine,0.178130244,hsa04210
KEGG_APOPTOSIS,Midostaurin,0.150510413,hsa04210
KEGG_APOPTOSIS,axitinib,0.14721335,hsa04210
KEGG_APOPTOSIS,Vinorelbine,0.144738518,hsa04210
KEGG_APOPTOSIS,everolimus,0.201181419,hsa04210
KEGG_APOPTOSIS,Axitinib,0.14721335,hsa04210
KEGG_APOPTOSIS,vorinostat,-0.043124083,hsa04210
KEGG_APOPTOSIS,Irinotecan,0.156635866,hsa04210
KEGG_APOPTOSIS,nilotinib,0.245514996,hsa04210
KEGG_APOPTOSIS,midostaurin,0.150510413,hsa04210
KEGG_APOPTOSIS,Everolimus,0.201181419,hsa04210
KEGG_ARACHIDONIC_ACID_METABOLISM,Clofarabine,-0.247544506,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,sorafenib,0.190967327,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Mitoxantrone,0.258832208,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Cediranib,-0.299594182,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Sorafenib,0.190967327,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Linifanib,0.32483517,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Doxorubicin,0.199297233,hsa00590
KEGG_ARACHIDONIC_ACID_METABOLISM,Daunorubicin,0.240285133,hsa00590
KEGG_ARGININE_AND_PROLINE_METABOLISM,Sunitinib,-0.288922617,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Vinblastine,-0.206141459,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Linifanib,0.302685757,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Fenretinide,0.15021452,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,sunitinib,-0.288922617,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Mitoxantrone,0.320778897,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Epirubicin,0.188128298,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,nilotinib,-0.285346472,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Zibotentan,-0.219130011,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Daunorubicin,0.259112724,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,imatinib,-0.2217418,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Everolimus,-0.314879284,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Imatinib,-0.2217418,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,Cediranib,-0.40509509,hsa00330
KEGG_ARGININE_AND_PROLINE_METABOLISM,everolimus,-0.314879284,hsa00330
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,rucaparib,0.171475603,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Vinblastine,0.245686998,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,temsirolimus,0.193375997,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Linifanib,0.197630244,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,alitretinoin,-0.192935043,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Doxorubicin,0.215760006,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Cediranib,-0.188452879,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,vemurafenib,-0.145448639,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Daunorubicin,0.331700977,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,vorinostat,0.066611367,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Mitoxantrone,0.374888142,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Temsirolimus,0.193375997,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Vorinostat,0.066611367,hsa05412
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,Epirubicin,0.249288156,hsa05412
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ixazomib,-0.364224376,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ABT-751,-0.390448932,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,Linifanib,-0.333661182,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,Vinorelbine,-0.390152626,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,Vinblastine,-0.242690934,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,sonidegib,0.366847357,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,Decitabine,0.468843657,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,Cediranib,-0.632773766,hsa00053
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,ABT-737,-0.384491028,hsa00053
KEGG_ASTHMA,Docetaxel,0.346082522,hsa05310
KEGG_ASTHMA,Simvastatin,0.283594767,hsa05310
KEGG_ASTHMA,Linifanib,0.441077333,hsa05310
KEGG_ASTHMA,Gefitinib,-0.331716505,hsa05310
KEGG_ASTHMA,Epirubicin,0.350030465,hsa05310
KEGG_ASTHMA,Fludarabine,0.405868166,hsa05310
KEGG_ASTHMA,gefitinib,-0.331716505,hsa05310
KEGG_AUTOIMMUNE_THYROID_DISEASE,Simvastatin,0.245033689,hsa05320
KEGG_AUTOIMMUNE_THYROID_DISEASE,Fludarabine,0.537020385,hsa05320
KEGG_AUTOIMMUNE_THYROID_DISEASE,Obatoclax,0.313386377,hsa05320
KEGG_AUTOIMMUNE_THYROID_DISEASE,Linifanib,0.47146524,hsa05320
KEGG_AXON_GUIDANCE,Vinblastine,0.172998327,hsa04360
KEGG_AXON_GUIDANCE,Daunorubicin,0.187485089,hsa04360
KEGG_AXON_GUIDANCE,Mitoxantrone,0.23098048,hsa04360
KEGG_AXON_GUIDANCE,vorinostat,0.069906328,hsa04360
KEGG_AXON_GUIDANCE,Vorinostat,0.069906328,hsa04360
KEGG_AXON_GUIDANCE,Epirubicin,0.138231838,hsa04360
KEGG_AXON_GUIDANCE,Doxorubicin,0.108177153,hsa04360
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Everolimus,0.259586119,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,vorinostat,0.109160894,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Prednisone,-0.130709615,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Fenretinide,0.108117393,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Obatoclax,0.233653936,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,crizotinib,0.248262462,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Vorinostat,0.109160894,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,everolimus,0.259586119,hsa04662
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,Vinblastine,0.23377447,hsa04662
KEGG_BASAL_CELL_CARCINOMA,Doxorubicin,0.22673337,hsa05217
KEGG_BASAL_CELL_CARCINOMA,Everolimus,0.267406704,hsa05217
KEGG_BASAL_CELL_CARCINOMA,Daunorubicin,0.121214123,hsa05217
KEGG_BASAL_CELL_CARCINOMA,Capecitabine,-0.226816747,hsa05217
KEGG_BASAL_CELL_CARCINOMA,everolimus,0.267406704,hsa05217
KEGG_BASAL_CELL_CARCINOMA,Veliparib,0.22924734,hsa05217
KEGG_BASAL_TRANSCRIPTION_FACTORS,Everolimus,0.325185935,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,Cediranib,0.386095491,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,Linifanib,-0.256099189,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,Daunorubicin,-0.259955264,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,crizotinib,0.254231875,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,Mitoxantrone,-0.338853154,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,everolimus,0.325185935,hsa03022
KEGG_BASAL_TRANSCRIPTION_FACTORS,Doxorubicin,-0.206403146,hsa03022
KEGG_BASE_EXCISION_REPAIR,sirolimus,-0.189341941,hsa03410
KEGG_BASE_EXCISION_REPAIR,temsirolimus,-0.288499573,hsa03410
KEGG_BASE_EXCISION_REPAIR,ruxolitinib,-0.412159421,hsa03410
KEGG_BASE_EXCISION_REPAIR,nilotinib,-0.277846154,hsa03410
KEGG_BASE_EXCISION_REPAIR,gefitinib,-0.25437811,hsa03410
KEGG_BASE_EXCISION_REPAIR,crizotinib,-0.432523366,hsa03410
KEGG_BASE_EXCISION_REPAIR,Geldanamycin,-0.268650253,hsa03410
KEGG_BASE_EXCISION_REPAIR,pazopanib,-0.283084984,hsa03410
KEGG_BASE_EXCISION_REPAIR,Sorafenib,-0.263072283,hsa03410
KEGG_BASE_EXCISION_REPAIR,Doxorubicin,-0.347422527,hsa03410
KEGG_BASE_EXCISION_REPAIR,Sirolimus,-0.189341941,hsa03410
KEGG_BASE_EXCISION_REPAIR,Daunorubicin,-0.158596163,hsa03410
KEGG_BASE_EXCISION_REPAIR,ixazomib,-0.440818142,hsa03410
KEGG_BASE_EXCISION_REPAIR,Clofarabine,-0.297959323,hsa03410
KEGG_BASE_EXCISION_REPAIR,Tipifarnib,-0.228333763,hsa03410
KEGG_BASE_EXCISION_REPAIR,Temsirolimus,-0.288499573,hsa03410
KEGG_BASE_EXCISION_REPAIR,imatinib,-0.314892878,hsa03410
KEGG_BASE_EXCISION_REPAIR,Vinorelbine,-0.234698945,hsa03410
KEGG_BASE_EXCISION_REPAIR,sonidegib,-0.312209389,hsa03410
KEGG_BASE_EXCISION_REPAIR,Everolimus,-0.517983812,hsa03410
KEGG_BASE_EXCISION_REPAIR,Linifanib,-0.279288822,hsa03410
KEGG_BASE_EXCISION_REPAIR,Gefitinib,-0.25437811,hsa03410
KEGG_BASE_EXCISION_REPAIR,neratinib,-0.25080212,hsa03410
KEGG_BASE_EXCISION_REPAIR,Vinblastine,-0.415543638,hsa03410
KEGG_BASE_EXCISION_REPAIR,Neratinib,-0.25080212,hsa03410
KEGG_BASE_EXCISION_REPAIR,Vorinostat,-0.220518337,hsa03410
KEGG_BASE_EXCISION_REPAIR,Obatoclax,-0.399681705,hsa03410
KEGG_BASE_EXCISION_REPAIR,sorafenib,-0.263072283,hsa03410
KEGG_BASE_EXCISION_REPAIR,sunitinib,-0.396198728,hsa03410
KEGG_BASE_EXCISION_REPAIR,everolimus,-0.517983812,hsa03410
KEGG_BASE_EXCISION_REPAIR,Sunitinib,-0.396198728,hsa03410
KEGG_BASE_EXCISION_REPAIR,vorinostat,-0.220518337,hsa03410
KEGG_BASE_EXCISION_REPAIR,Pazopanib,-0.283084984,hsa03410
KEGG_BASE_EXCISION_REPAIR,Imatinib,-0.314892878,hsa03410
KEGG_BETA_ALANINE_METABOLISM,Vinblastine,-0.233047277,hsa00410
KEGG_BETA_ALANINE_METABOLISM,Linifanib,0.259085033,hsa00410
KEGG_BETA_ALANINE_METABOLISM,ixazomib,-0.464140434,hsa00410
KEGG_BETA_ALANINE_METABOLISM,Cediranib,-0.405691765,hsa00410
KEGG_BETA_ALANINE_METABOLISM,Epirubicin,0.271351096,hsa00410
KEGG_BETA_ALANINE_METABOLISM,Daunorubicin,0.195423228,hsa00410
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Vorinostat,0.218610575,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,toremifene,0.198026014,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Anastrozole,0.39753793,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Vinblastine,-0.265564462,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Decitabine,0.388177577,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,tamoxifen,0.329044904,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Paclitaxel,0.211743278,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,anastrozole,0.39753793,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,sorafenib,0.266333707,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Daunorubicin,0.157741715,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Naloxone,0.285667503,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Mitoxantrone,0.376685357,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Afatinib,0.399561688,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Toremifene,0.198026014,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,afatinib,0.399561688,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,ABT-751,-0.316363785,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Sorafenib,0.266333707,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Tamoxifen,0.329044904,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,Bosutinib,0.411113875,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,vorinostat,0.218610575,hsa01040
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,bosutinib,0.411113875,hsa01040
KEGG_BLADDER_CANCER,Vinblastine,0.202734601,hsa05219
KEGG_BLADDER_CANCER,imatinib,0.233056126,hsa05219
KEGG_BLADDER_CANCER,Imatinib,0.233056126,hsa05219
KEGG_BLADDER_CANCER,vorinostat,-0.095999247,hsa05219
KEGG_BLADDER_CANCER,Vorinostat,-0.095999247,hsa05219
KEGG_BLADDER_CANCER,Rosiglitazone,0.12808673,hsa05219
KEGG_BUTANOATE_METABOLISM,Geldanamycin,-0.141549455,hsa00650
KEGG_BUTANOATE_METABOLISM,Afatinib,0.330593263,hsa00650
