Drug	DEG	logFC
Geldanamycin	CDK4	1
Geldanamycin	FZD7	1
Geldanamycin	H2AFZ	1
Geldanamycin	NOTCH2 /// NOTCH2NL	1
Geldanamycin	MCM7	1
Geldanamycin	PPA1	1
Geldanamycin	TRIM65	1
Geldanamycin	POLR1C	1
Geldanamycin	LBH	1
Geldanamycin	PCNA	1
Geldanamycin	JAKMIP2	1
Geldanamycin	IL2RG	1
Geldanamycin	TCTN1	1
Vincristine	KIF18A	1
Vincristine	PBK	1
Vincristine	KIF20A	1
Vincristine	CCNB2	1
Vincristine	NEK2	1
Vincristine	KIF11	1
Vincristine	CDC20	1
Vincristine	SGOL1	1
Vincristine	SGOL2	1
Vincristine	NUF2	1
Vincristine	TTK	1
Vincristine	AURKA	1
Vincristine	SKA1	1
Vincristine	KIF20B	1
Vincristine	HMMR	1
Vincristine	PRICKLE3	1
Vincristine	CCNB1	1
Vincristine	CKAP2	1
Vincristine	CDKN3	1
Vincristine	ANLN	1
Vincristine	KIFC1	1
Vincristine	CCNA2	1
Vincristine	DEPDC1	1
Vincristine	PPP2R2B	1
Vincristine	PTTG1 /// PTTG3P	1
Vincristine	CCDC99	1
Vincristine	APOBEC3B	1
Vincristine	BUB1B	1
Vincristine	BIRC5	1
Vincristine	DLGAP5	1
Vincristine	PLK1	1
Vincristine	DCP2	1
Vincristine	ARHGAP11A	1
Vincristine	KIF2C	1
Vincristine	C12orf48	1
Vincristine	NCAPG	1
Vincristine	CEP55	1
Vincristine	ARHGAP20	1
Vincristine	SKA3	1
Vincristine	PRC1	1
Vincristine	MTSS1	1
Vincristine	FOXM1	1
Vincristine	KIF14	1
Vincristine	KIF23	1
Vincristine	FAM72A /// FAM72B /// FAM72C /// FAM72D	1
Vincristine	SPAG5	1
Vincristine	METTL4	1
Vincristine	OIP5	1
Vincristine	SHCBP1	1
Vincristine	MAD2L1	1
Vincristine	AURKB	1
Vincristine	GPSM2	1
Vincristine	C1orf107	1
Vincristine	CCDC117	1
Vincristine	TACC3	1
Vincristine	TRIP13	1
Vincristine	CENPA	1
Vincristine	C11orf82	1
Vincristine	FBXO30	1
Vincristine	MOV10L1	1
Vincristine	RFC3	1
Vincristine	PCMT1	1
Vincristine	TMEM25	1
Vincristine	CENPN	1
Vincristine	CDC25B	1
Vincristine	C13orf37	1
Vincristine	RAD51	1
Vincristine	MOBKL1A	1
Vincristine	PCDHA7	1
Vincristine	CKS1B	1
Vincristine	THUMPD3	1
Vincristine	KCNMB2	1
Vincristine	PNRC2	1
Vincristine	HCST	1
Vincristine	ANKRD13C	1
Vincristine	GABPB1	1
Vincristine	CKAP2L	1
Vincristine	SFPQ	1
Vincristine	CKAP5	1
Vincristine	ARHGAP17	1
Vincristine	MPHOSPH9	1
Vincristine	RBM15	1
Vincristine	ATL2	1
Vincristine	GTSE1	1
Vincristine	GLIPR1L1	1
Vincristine	VSTM1	1
Vincristine	FBXW7	1
Vincristine	C20orf72	1
Vincristine	IPO11	1
Vincristine	BIK	1
Vincristine	SMC4	1
Vincristine	PPP1R15B	1
Vincristine	SLC38A9	1
Vincristine	TCERG1L	1
Vincristine	DBN1	1
Vincristine	NIF3L1	1
Vincristine	FANCD2	1
Vincristine	RNF38	1
Vincristine	CCDC150	1
Vincristine	MTO1	1
Vincristine	DIAPH3	1
Vincristine	PKNOX1	1
Vincristine	C10orf84	1
Vincristine	KIF4A	1
Vincristine	C20orf194	1
Vincristine	NLN	1
Vincristine	TTC9B	1
Vincristine	C21orf45	1
Vincristine	SAMD9L	1
Vincristine	TWF1	1
Vincristine	MASTL	1
Vincristine	ZBTB41	1
Vincristine	SULF2	1
Vincristine	TUBB	1
Vincristine	BRD8	1
Vincristine	RACGAP1	1
Vincristine	MKI67	1
Vincristine	PKP2	1
Vincristine	RAD50	1
Vincristine	SF3B4	1
Vincristine	PRNP	1
Vincristine	PDCL	1
Vincristine	ANXA9	1
Vincristine	BMPR1A /// LOC283155	1
Vincristine	MTMR10	1
Vincristine	MLF1IP	1
Vincristine	RAD54B	1
Vincristine	MX2	1
Vincristine	RTDR1	1
Vincristine	ZNF828	1
Vincristine	NUP133	1
Vincristine	TRAF3IP2	1
Vincristine	CADM3	1
Vincristine	DTX3L	1
Vincristine	ERCC6L	1
Vincristine	SHOC2	1
Vincristine	SPC25	1
Vincristine	MGMT	1
Vincristine	ASGR2	1
Vincristine	NWD1	1
Vincristine	NCS1	1
Vincristine	HMGCR	1
Vincristine	KIF22	1
Vincristine	PSRC1	1
Vincristine	ZNF860	1
Vincristine	TWISTNB	1
Vincristine	RRP1B	1
Vincristine	MSN	1
Vincristine	ADAMTSL2	1
Vincristine	GP1BA	1
Vincristine	TROAP	1
Vincristine	ANKRD28	1
Vincristine	SYS1	1
Vincristine	CNOT3	1
Vincristine	EFR3B	1
Vincristine	INCENP	1
Vincristine	NPTXR	1
Vincristine	C11orf58	1
Vincristine	PIK3CD	1
Vincristine	MDFI	1
Vincristine	USMG5	1
Vincristine	CXCL5 /// GLYR1	1
Vincristine	CHADL	1
Vincristine	ZNF76	1
Vincristine	TLN2	1
Vincristine	KLF4	1
Vincristine	ARHGAP19	1
Vincristine	MEOX1	1
Vincristine	HIRIP3	1
Vincristine	PHF21A	1
Vincristine	AP1M2	1
Vincristine	STIL	1
Vincristine	ABCB6 /// ATG9A	1
Vincristine	CDCA3	1
Vincristine	TMEM204	1
Vincristine	ZNF653	1
Vincristine	SMTN	1
Vincristine	CDYL	1
Vincristine	NUP98	1
Vincristine	C1orf9	1
Vincristine	MIS12	1
Vincristine	NARG2	1
Vincristine	ATP6V0D2	1
Vincristine	H1FX	1
Vincristine	TRUB1	1
Vincristine	DDX39	1
Vincristine	TMCO1	1
Vincristine	BCL11B	1
Vincristine	C1orf135	1
Vincristine	ADD1	1
Vincristine	MAGEB18	1
Vincristine	GRK6	1
Vincristine	PTPRK	1
Vincristine	P2RY14	1
Vincristine	TIMP1	1
Vincristine	ZPLD1	1
Vincristine	PLP1	1
Vincristine	AHNAK	1
Vincristine	CCR8	1
Vincristine	FOXL1	1
Vincristine	FUCA1	1
Vincristine	SPRR2D	1
Vincristine	TMEM133	1
Vincristine	LDLR	1
Vincristine	FHL5	1
Vincristine	PDZRN3	1
Vincristine	SOS1	1
Vincristine	CNKSR3	1
Vincristine	USP54	1
Vincristine	CCNF	1
Vincristine	ARHGAP15	1
Vincristine	TNFSF12	1
Vincristine	FLJ10213	1
Vincristine	PTCD1	1
Vincristine	CLK1	1
Vincristine	CLEC1B	1
Vincristine	SMYD5	1
Vincristine	DFNA5	1
Vincristine	ZCCHC14	1
Vincristine	UNC13B	1
Vincristine	C1orf186	1
Vincristine	NXT1	1
Vincristine	WDR41	1
Vincristine	SPRED2	1
Vincristine	STBD1	1
Vincristine	NUDT12	1
Vincristine	MAPK1IP1L	1
Vincristine	PSMD9	1
Vincristine	EXOC1	1
Vincristine	AGPAT3	1
Vincristine	MT1H	1
Vincristine	PRG4	1
Vincristine	FOS	1
Vincristine	C6orf127	1
Vincristine	SPRR2A	1
Vincristine	WDR47	1
Vincristine	PLXND1	1
Vincristine	LRRC4B	1
Vincristine	KIAA1244	1
Vincristine	UNG	1
Vincristine	RERE	1
Vincristine	BCORL1	1
Vincristine	CDCA5	1
Vincristine	MARK1	1
Vincristine	SLC25A44	1
Vincristine	SYT1	1
Vincristine	SEMA4B	1
Vincristine	COL5A1	1
Vincristine	HAGHL	1
Vincristine	TMPRSS3	1
Vincristine	FAM108C1	1
Vincristine	PDK2	1
Vincristine	DNAJB5	1
Vincristine	OCM /// OCM2	1
Vincristine	ZBTB45	1
Vincristine	PRUNE	1
Vincristine	USP14	1
Vincristine	UBE2S	1
Vincristine	FAM64A	1
Vincristine	TDRKH	1
Vincristine	KRAS	1
Vincristine	PFKFB3	1
Vincristine	ATG4B	1
Vincristine	SCARB2	1
Vincristine	C9orf144 /// C9orf144B	1
Vincristine	IFT80	1
Vincristine	FRZB	1
Vincristine	SYTL3	1
Vincristine	C20orf117	1
Vincristine	WWC2	1
Vincristine	C17orf71	1
Vincristine	KIF1C	1
Vincristine	NEDD4L	1
Vincristine	ZC3H3	1
Vincristine	KCND1	1
Vincristine	RANGAP1	1
Vincristine	FAM47B	1
Vincristine	PNLIP	1
Vincristine	CLK2	1
Vincristine	RAB11FIP1	1
Vincristine	C2orf73	1
Vincristine	ZNF189	1
Vincristine	STXBP6	1
Vincristine	IFFO2	1
Vincristine	BAI1	1
Vincristine	ATP13A2	1
Vincristine	RAB5A	1
Vincristine	TRIOBP	1
Vincristine	SERPINA10	1
Vincristine	LRRTM2	1
Vincristine	SCGB3A1	1
Vincristine	EDARADD	1
Vincristine	DOCK9	1
Vincristine	ADAM33	1
Camptothecin	EGR4	1
Camptothecin	LCE1C	1
Camptothecin	GADD45A	1
Camptothecin	CDKN1A	1
Camptothecin	PLAU	1
Camptothecin	OTP	1
Camptothecin	PHLDA3	1
Camptothecin	SULF2	1
Camptothecin	SESN2	1
Camptothecin	DDB2	1
Camptothecin	FDXR	1
Camptothecin	FAM172A	1
Camptothecin	RRM2B	1
Camptothecin	FAS	1
Camptothecin	IER3	1
Camptothecin	LRDD	1
Camptothecin	TRIM22	1
Camptothecin	PVRL4	1
Camptothecin	IKBIP	1
Camptothecin	CYFIP2	1
Camptothecin	EXO1	1
Camptothecin	C12orf45	1
Camptothecin	ATF3	1
Camptothecin	TRIAP1	1
Camptothecin	SAC3D1	1
Camptothecin	CLDN1	1
Camptothecin	C1orf183	1
Camptothecin	SERTAD1	1
Camptothecin	RAP2B	1
Camptothecin	CDC20	1
Camptothecin	CCNB1	1
Camptothecin	SESN1	1
Camptothecin	KIAA0247	1
Camptothecin	PLK1	1
Camptothecin	ESCO2	1
Camptothecin	EPHA2	1
Camptothecin	LSS	1
Camptothecin	DACH2	1
Camptothecin	DSCAML1	1
Camptothecin	ID3	1
Camptothecin	TRIM26	1
Camptothecin	LIG1	1
Camptothecin	TRAF4	1
Camptothecin	C6orf48	1
Camptothecin	SLC3A2	1
Camptothecin	GNA15	1
Camptothecin	RABGAP1L	1
Camptothecin	ZNF28 /// ZNF468	1
Camptothecin	SDF2L1	1
Camptothecin	NKX2-5	1
Camptothecin	NEURL1B	1
Camptothecin	TYMS	1
Camptothecin	ITPKC	1
Camptothecin	RGS19	1
Camptothecin	EGR1	1
Camptothecin	SAT2	1
Camptothecin	RFC3	1
Camptothecin	ISG15	1
Camptothecin	MFAP3	1
Camptothecin	ZNF600	1
Camptothecin	INPP1	1
Camptothecin	CDCA5	1
Camptothecin	ABHD4	1
Camptothecin	NLRP1	1
Camptothecin	CCNB1IP1	1
Camptothecin	FBXO22	1
Camptothecin	PTTG1 /// PTTG3P	1
Camptothecin	DCTN4	1
Camptothecin	PMAIP1	1
Camptothecin	PTP4A1	1
Camptothecin	ZNF302	1
Camptothecin	SKA1	1
Camptothecin	IL1A	1
Camptothecin	E2F8	1
Camptothecin	FOS	1
Camptothecin	AMOTL1	1
Camptothecin	C21orf56	1
Camptothecin	C9orf3	1
Camptothecin	NCAPG2	1
Camptothecin	ALAS1	1
Camptothecin	PHPT1	1
Camptothecin	CITED2	1
Camptothecin	ATP2B1	1
Camptothecin	ZNF136	1
Camptothecin	FOSB	1
Camptothecin	GAS2L3	1
Camptothecin	SOCS2	1
Camptothecin	PRKAB1	1
Camptothecin	ANXA4	1
Camptothecin	ANKRA2	1
Camptothecin	KRT17	1
Camptothecin	FANCI	1
Camptothecin	SLC30A1	1
Camptothecin	PCNA	1
Camptothecin	TRIB2	1
Camptothecin	KIAA0513	1
Camptothecin	ZNF181 /// ZNF302	1
Camptothecin	C19orf48	1
Camptothecin	C14orf4	1
Camptothecin	DUSP5	1
Camptothecin	XPC	1
Camptothecin	PPIL2	1
Camptothecin	JUN	1
Camptothecin	E2F7	1
Camptothecin	MDM2	1
Camptothecin	BBC3	1
Camptothecin	IER5	1
Camptothecin	GPSM2	1
Camptothecin	C12orf5	1
Camptothecin	KCTD11	1
Camptothecin	YPEL3	1
Camptothecin	C3orf21	1
Camptothecin	POLH	1
Camptothecin	ARHGAP15	1
Camptothecin	FBLN2	1
Camptothecin	C17orf103	1
Camptothecin	RTN4IP1	1
Camptothecin	LRRC40	1
Camptothecin	SLC39A11	1
Camptothecin	PERP	1
Camptothecin	C3orf19	1
Camptothecin	KLF4	1
Camptothecin	FOSL1	1
Camptothecin	C20orf72	1
Camptothecin	EIF4G3	1
Camptothecin	TNFRSF10B	1
Camptothecin	CHRNA5	1
Camptothecin	PRIC285	1
Camptothecin	ACADM	1
Camptothecin	DNAJB11	1
Camptothecin	NINJ1	1
Camptothecin	CEP70	1
Camptothecin	GRIN2A	1
Camptothecin	D4S234E /// FOXP1	1
Camptothecin	ABHD2	1
Camptothecin	PSMC3IP	1
Camptothecin	CEL	1
Camptothecin	C10orf10	1
Camptothecin	CCNG1	1
Camptothecin	SGPP1	1
Camptothecin	PPP2R3B	1
Camptothecin	BTN3A2	1
Camptothecin	PPP1R15B	1
Camptothecin	DDX10	1
Camptothecin	POM121 /// POM121C	1
Camptothecin	RAD51C	1
Camptothecin	GXYLT2	1
Camptothecin	LRFN4	1
Camptothecin	COMTD1	1
Camptothecin	SYNE2	1
Camptothecin	LARGE	1
Camptothecin	CD40	1
Camptothecin	CDC45	1
Camptothecin	SAMSN1	1
Camptothecin	ZNF16	1
Camptothecin	SPRR2D	1
Camptothecin	FGGY	1
Camptothecin	IL8	1
Camptothecin	KLF10	1
Camptothecin	ZNF654	1
Camptothecin	TES	1
Camptothecin	BCL10	1
Camptothecin	IER5L	1
Camptothecin	B4GALT4	1
Camptothecin	ZNF296	1
Camptothecin	KNTC1	1
Camptothecin	ZFP90	1
Camptothecin	SMAD5	1
Camptothecin	ZNF564	1
Camptothecin	OR51E2	1
Camptothecin	TAX1BP3	1
Camptothecin	ABCG2	1
Camptothecin	MDM1	1
Camptothecin	SDC1	1
Camptothecin	PTK2	1
Camptothecin	RNF19B	1
Camptothecin	CASP4	1
Camptothecin	ZNF441	1
Camptothecin	OBFC2A	1
Camptothecin	BAI3	1
Camptothecin	CDK5RAP1	1
Camptothecin	ZCCHC8	1
Camptothecin	PLD6	1
Camptothecin	FAM110A	1
Camptothecin	HNMT	1
Camptothecin	PRMT3	1
Camptothecin	CXCL10	1
Camptothecin	FHL3	1
Camptothecin	PODXL	1
Camptothecin	DDX11 /// DDX12 /// LOC642846	1
Camptothecin	GIGYF2	1
Camptothecin	ZNF282	1
Camptothecin	SURF2	1
Camptothecin	APOBEC3G	1
Camptothecin	SDCBP2	1
Camptothecin	APOBEC3C	1
Camptothecin	ABHD3	1
Camptothecin	BHLHE40	1
Camptothecin	LCE1F	1
Camptothecin	ARL5B	1
Camptothecin	KCTD13	1
Camptothecin	RELA	1
Camptothecin	C17orf71	1
Camptothecin	UVRAG	1
Camptothecin	UST	1
Camptothecin	CAPN2	1
Camptothecin	HRAS	1
Camptothecin	CD97	1
Camptothecin	CHRAC1	1
Camptothecin	CKAP2	1
Camptothecin	SMPD3	1
Camptothecin	C20orf106 /// C20orf107	1
Camptothecin	MTO1	1
Camptothecin	EI24	1
Camptothecin	GAK	1
Camptothecin	SYS1	1
Camptothecin	TOR1A	1
Camptothecin	NR4A1	1
Camptothecin	OCIAD2	1
Camptothecin	BARX2	1
Camptothecin	TRIB1	1
Camptothecin	RHBDD2	1
Camptothecin	COL4A2	1
Camptothecin	ZMAT3	1
Camptothecin	PVRL1	1
Camptothecin	KIF14	1
Camptothecin	GLIS2	1
Camptothecin	ATAD2	1
Camptothecin	TBC1D5	1
Camptothecin	GEM	1
Camptothecin	C1orf135	1
Camptothecin	SLC28A1	1
Camptothecin	ZNF30	1
Camptothecin	UBE2C	1
Camptothecin	PITPNM1	1
Camptothecin	PRIM1	1
Camptothecin	TNFSF9	1
Camptothecin	C9orf156	1
Camptothecin	DDX20	1
Camptothecin	BACH1	1
Camptothecin	MANF	1
Camptothecin	ODZ3	1
Camptothecin	HSPE1	1
Camptothecin	CCDC91	1
Camptothecin	PAGE5	1
Camptothecin	CDC42EP3	1
Camptothecin	TRAPPC6B	1
Camptothecin	C16orf5	1
Camptothecin	ZNF79	1
Camptothecin	CD70	1
Camptothecin	SH3BP5	1
Camptothecin	HINT3	1
Camptothecin	FAM155A	1
Camptothecin	CP110	1
Camptothecin	PHKB	1
Camptothecin	PIPOX	1
Camptothecin	ZNF777	1
Camptothecin	TMEM187	1
Camptothecin	DEPDC1	1
Camptothecin	SNRK	1
Camptothecin	ZNF134	1
Camptothecin	SLC38A9	1
Camptothecin	REEP2	1
Camptothecin	ZNF561	1
Camptothecin	ZFP36L2	1
Camptothecin	C16orf48	1
Camptothecin	ACD	1
Camptothecin	TMEM25	1
Camptothecin	ZNF689	1
Camptothecin	RMI1	1
Camptothecin	EIF2AK2	1
Camptothecin	BTG1	1
Camptothecin	TCTEX1D2	1
Camptothecin	CCNB2	1
Camptothecin	ZFYVE1	1
Camptothecin	FEM1A	1
Camptothecin	SDHAF1	1
Camptothecin	UBE2S	1
Camptothecin	OSTF1	1
Camptothecin	TESC	1
Camptothecin	RRN3	1
Camptothecin	MFGE8	1
Camptothecin	DEF6	1
Camptothecin	PAFAH1B3	1
Camptothecin	SH3RF2	1
Camptothecin	C2orf82	1
Camptothecin	STX6	1
Camptothecin	STK19	1
Camptothecin	MEX3B	1
Camptothecin	TBL1XR1	1
Camptothecin	SLC26A11	1
Camptothecin	ALAD	1
Camptothecin	HCCS	1
Camptothecin	TRUB1	1
Camptothecin	OGFOD1	1
Camptothecin	LONRF1	1
Camptothecin	ZP3	1
Camptothecin	SLC9A1	1
Camptothecin	IMPA1	1
Camptothecin	BAK1	1
Camptothecin	EMB /// LOC647121	1
Camptothecin	WDR19	1
Camptothecin	ZBTB11	1
Camptothecin	LBH	1
Camptothecin	GPC1	1
Camptothecin	ZFP82	1
Camptothecin	MFSD4	1
Camptothecin	PTGER4	1
Camptothecin	SELM	1
Camptothecin	KIAA0913	1
Camptothecin	FN3KRP	1
Camptothecin	PTPRG	1
Camptothecin	CCDC101	1
Camptothecin	C16orf79	1
Camptothecin	MLF1IP	1
Camptothecin	C16orf45	1
Camptothecin	FAM13C	1
Camptothecin	POLR3C	1
Camptothecin	CXCL13	1
Camptothecin	TRIM68	1
Camptothecin	TMEM68	1
Camptothecin	DPYD	1
Camptothecin	XRCC3	1
Camptothecin	MPP6	1
Camptothecin	RNF25	1
Camptothecin	DVL3	1
Camptothecin	ZNF706	1
Camptothecin	BCAS3	1
Camptothecin	VPS37B	1
Camptothecin	SERPINE1	1
Camptothecin	CADM1	1
Camptothecin	C15orf33	1
Camptothecin	RNF11	1
Camptothecin	C4orf41	1
Camptothecin	C17orf95	1
Camptothecin	SMAD7	1
Camptothecin	SGK1	1
Doxorubicin	FDXR	1
Doxorubicin	DDB2	1
Doxorubicin	OTP	1
Doxorubicin	CDKN1A	1
Doxorubicin	PHLDA3	1
Doxorubicin	SULF2	1
Doxorubicin	RRM2B	1
Doxorubicin	TRIM22	1
Doxorubicin	IKBIP	1
Doxorubicin	LCE1C	1
Doxorubicin	CYFIP2	1
Doxorubicin	JUN	1
Doxorubicin	SESN2	1
Doxorubicin	PPP2R2B	1
Doxorubicin	GADD45A	1
Doxorubicin	KLF4	1
Doxorubicin	NEURL1B	1
Doxorubicin	FAS	1
Doxorubicin	ANKRA2	1
Doxorubicin	LRDD	1
Doxorubicin	TRIAP1	1
Doxorubicin	HMX1	1
Doxorubicin	UNG	1
Doxorubicin	ZMAT3	1
Doxorubicin	PTP4A1	1
Doxorubicin	C12orf5	1
Doxorubicin	PRKX	1
Doxorubicin	DRAM1	1
Doxorubicin	XPC	1
Doxorubicin	ANXA4	1
Doxorubicin	KCTD11	1
Doxorubicin	CLDN1	1
Doxorubicin	C1orf183	1
Doxorubicin	FBXO22	1
Doxorubicin	STARD8	1
Doxorubicin	EGR2	1
Doxorubicin	KIAA0247	1
Doxorubicin	SESN1	1
Doxorubicin	TNFRSF10B	1
Doxorubicin	PLCL2	1
Doxorubicin	VLDLR	1
Doxorubicin	DYNC1I1	1
Doxorubicin	EGR4	1
Doxorubicin	IMPA2	1
Doxorubicin	INPP1	1
Doxorubicin	POLH	1
Doxorubicin	CDC20	1
Doxorubicin	CCNE2	1
Doxorubicin	KIF20A	1
Doxorubicin	SDF2L1	1
Doxorubicin	PHGDH	1
Doxorubicin	YPEL3	1
Doxorubicin	DUSP5	1
Doxorubicin	ACTA2	1
Doxorubicin	GAS2L3	1
Doxorubicin	LSS	1
Doxorubicin	OBFC2A	1
Doxorubicin	NINJ1	1
Doxorubicin	CISD2	1
Doxorubicin	NCOA4	1
Doxorubicin	TUBB2A	1
Doxorubicin	TRAF4	1
Doxorubicin	UBE2S	1
Doxorubicin	PHPT1	1
Doxorubicin	SIK1	1
Doxorubicin	IL1A	1
Doxorubicin	SAC3D1	1
Doxorubicin	C14orf4	1
Doxorubicin	EI24	1
Doxorubicin	FAM47B	1
Doxorubicin	SLC7A11	1
Doxorubicin	HSPA5	1
Doxorubicin	CD97	1
Doxorubicin	APOBEC3G	1
Doxorubicin	EFNA4	1
Doxorubicin	NR4A1	1
Doxorubicin	CD3D	1
Doxorubicin	APOBEC3C	1
Doxorubicin	MCM7	1
Doxorubicin	TFDP1	1
Doxorubicin	UBE2T	1
Doxorubicin	BCL9L	1
Doxorubicin	NTN1	1
Doxorubicin	MAGEB18	1
Doxorubicin	DUSP21	1
Doxorubicin	TNFRSF1B	1
Doxorubicin	MARK1	1
Doxorubicin	MDM2	1
Doxorubicin	IER5	1
Doxorubicin	AIFM3	1
Doxorubicin	SRC	1
Doxorubicin	MORC3	1
Doxorubicin	DKKL1	1
Doxorubicin	WBP2	1
Doxorubicin	P2RY14	1
Doxorubicin	FOSB	1
Doxorubicin	TCF19	1
Doxorubicin	D4S234E /// FOXP1	1
Doxorubicin	TAX1BP3	1
Doxorubicin	RAD21	1
Doxorubicin	SERTAD1	1
Doxorubicin	DUT	1
Doxorubicin	ITPKC	1
Doxorubicin	DEFB106A /// DEFB106B	1
Doxorubicin	BBC3	1
Doxorubicin	MYOG	1
Doxorubicin	HLA-DOA	1
Doxorubicin	REEP2	1
Doxorubicin	PTGER4	1
Doxorubicin	ZBTB7A	1
Doxorubicin	PRNP	1
Doxorubicin	PRKY	1
Doxorubicin	ZBED2	1
Doxorubicin	PTTG1 /// PTTG3P	1
Doxorubicin	PDIA6	1
Doxorubicin	TYMS	1
Doxorubicin	NINJ2	1
Doxorubicin	APOBEC3B	1
Doxorubicin	CITED2	1
Doxorubicin	PLXNB2	1
Doxorubicin	ZNF30	1
Doxorubicin	ICAM1	1
Doxorubicin	POLR1C	1
Doxorubicin	IER3	1
Doxorubicin	HSPA1B	1
Doxorubicin	NPAS2	1
Doxorubicin	PRR14	1
Doxorubicin	KDM4C	1
Doxorubicin	FAM113B	1
Doxorubicin	GTF2E1	1
Doxorubicin	PRSS54	1
Doxorubicin	PVRIG /// STAG3	1
Doxorubicin	CKLF	1
Doxorubicin	GPX1	1
Doxorubicin	CSRP1	1
Doxorubicin	ZNF564	1
Doxorubicin	ATXN7L3	1
Doxorubicin	CLP1	1
Doxorubicin	FSCN1	1
Doxorubicin	MCM6	1
Doxorubicin	CDH5	1
Doxorubicin	C16orf42	1
Doxorubicin	March 10	1
Doxorubicin	PIGO	1
Doxorubicin	TGS1	1
Doxorubicin	SOCS2	1
Doxorubicin	C2orf71	1
Doxorubicin	CAV1	1
Doxorubicin	PDAP1	1
Doxorubicin	KLF1	1
Doxorubicin	SLC37A1	1
Doxorubicin	NEUROD6	1
Doxorubicin	PCF11	1
Doxorubicin	MAN1B1	1
Doxorubicin	TP53INP1	1
Doxorubicin	PAGE5	1
Doxorubicin	IGSF1	1
Doxorubicin	SH3PXD2A	1
Doxorubicin	PTCD1	1
Doxorubicin	ARID3A	1
Doxorubicin	RNF185	1
Doxorubicin	KIAA1609	1
Doxorubicin	CLCN5	1
Doxorubicin	CUZD1	1
Doxorubicin	ZFP36L1	1
Doxorubicin	C17orf107	1
Doxorubicin	PREX1	1
Doxorubicin	FBLN2	1
Doxorubicin	ILF3	1
Doxorubicin	RFC4	1
Doxorubicin	SCRG1	1
Doxorubicin	CEACAM1	1
Doxorubicin	PHF21A	1
Doxorubicin	PLK1	1
Doxorubicin	MICALL1	1
Doxorubicin	DDX10	1
Doxorubicin	SIGLEC7	1
Doxorubicin	AMPH	1
Doxorubicin	NT5E	1
Doxorubicin	KRTAP9-9	1
Doxorubicin	NT5DC1	1
Doxorubicin	EXOC1	1
Doxorubicin	STK38L	1
Doxorubicin	IFLTD1	1
Doxorubicin	PTCRA	1
Doxorubicin	RAI1	1
Doxorubicin	NBAS	1
Doxorubicin	PABPC3	1
Doxorubicin	AMD1	1
Doxorubicin	SPATA2L	1
Doxorubicin	HAND1	1
Aclacinomycin A	DOCK8	1
Aclacinomycin A	BAI3	1
Aclacinomycin A	CCNJ	1
Aclacinomycin A	WFDC2	1
Aclacinomycin A	THUMPD3	1
Aclacinomycin A	NWD1	1
Aclacinomycin A	SPRED2	1
Aclacinomycin A	P2RY14	1
Aclacinomycin A	FERD3L	1
Aclacinomycin A	DNAJC12	1
Aclacinomycin A	ISLR2	1
Aclacinomycin A	SLC24A3	1
Aclacinomycin A	ZFP36L1	1
Aclacinomycin A	PSEN2	1
